isin_prefix,company_name,nsdl_issuer,match_method,score
INE0GDU,Greencell Mobility Private Limited,GREENCELL MOBILITY PRIVATE LIMITED,exact,100.0
INE0GIT,Shyama Shyam P1 City Bus Operations Pvt Ltd,SHYAMA SHYAM P1 CITY BUS OPERATIONS PRIVATE LIMITED,exact,100.0
INE0GIW,VSK City Bus Operations Pvt Ltd,VSK CITY BUS OPERATIONS PRIVATE LIMITED,exact,100.0
INE0GMD,Bagmane Developers Private Limited,BAGMANE DEVELOPERS PRIVATE LIMITED,exact,100.0
INE0GNP,Indospace MET Logistics Park Farukhnagar Private Limited,INDOSPACE MET LOGISTICS PARK FARUKHNAGAR PRIVATE LIMITED,exact,100.0
INE0GOL,Indifi Capital Private Limited,INDIFI CAPITAL PRIVATE LIMITED,exact,100.0
INE0GQL,Ganga STP Project Private Limited,GANGA STP PROJECT PRIVATE LIMITED,exact,100.0
INE0GVF,Ghaziabad Nagar Nigam,GHAZIABAD NAGAR NIGAM,exact,100.0
INE0GVQ,GMR LOGISTICS PARK PRIVATE LIMITED (Formerly ESR GMR LOGISTICS PARK PRIVATE LIMITED),GMR LOGISTICS PARK PRIVATE LIMITED,exact,100.0
INE0GXL,Navi Limited (Formerly Navi technologies Limited),NAVI LIMITED,exact,100.0
INE0H0C,Indospace SKLL Coimbatore Private Limited,INDOSPACE SKLL COIMBATORE PRIVATE LIMITED,exact,100.0
INE0H2G,DK Sewage Project Private Limited,DK SEWAGE PROJECT PRIVATE LIMITED,exact,100.0
INE0H6E,Sprng Solar Plus Private Limited (formerly  Fortum Solar Plus Private Limited),SPRNG SOLAR PLUS PRIVATE LIMITED,exact,100.0
INE0H7E,Radiance Renewables Private Limited,RADIANCE RENEWABLES PRIVATE LIMITED,exact,100.0
INE0H7R,National Highways Infra Trust,NATIONAL HIGHWAYS INFRA TRUST,exact,100.0
INE0H8L,Nirmal Bang Financial Services Private Limited,NIRMAL BANG FINANCIAL SERVICES PRIVATE LIMITED,exact,100.0
INE0H8V,Sahyadri Farms Post Harvest Care Limited,SAHYADRI FARMS POST HARVEST CARE LIMITED,exact,100.0
INE0H96,Lok Suvidha Finance Limited,LOK SUVIDHA FINANCE LIMITED,exact,100.0
INE0HEN,Techfino Capital Private Limited,TECHFINO CAPITAL PRIVATE LIMITED,exact,100.0
INE0HHB,Deerfield Logistics Private Limited,DEERFIELD LOGISTICS PRIVATE LIMITED,exact,100.0
INE0HJ1,Juniper Green Three Private Limited,JUNIPER GREEN THREE PRIVATE LIMITED,exact,100.0
INE0HPS,Juniper Green Field Private Limited,JUNIPER GREEN FIELD PRIVATE LIMITED,exact,100.0
INE0HT8,Leviathan Logisolutions Pvt. Ltd,LEVIATHAN LOGISOLUTIONS PRIVATE LIMITED,exact,100.0
INE0HU7,Avengers Solar Private Limited,AVENGERS SOLAR PRIVATE LIMITED,exact,100.0
INE0HVD,Barwa Adda Expressway Limited,BARWA ADDA EXPRESSWAY LIMITED,exact,100.0
INE0HXI,Simar Infrastructures Limited,SIMAR INFRASTRUCTURES LIMITED,exact,100.0
INE0I10,Shah Business Ventures Private Limited,SHAH BUSINESS VENTURES PRIVATE LIMITED,exact,100.0
INE0I1U,ABC RENEWABLE ENERGY (RJ-01) PRIVATE LIMITED,ABC RENEWABLE ENERGY (RJ-01) PRIVATE LIMITED,exact,100.0
INE0I51,Indospace Chittoor Private Limited,INDOSPACE CHITTOOR PRIVATE LIMITED,exact,100.0
INE0I52,ERPL Warehousing Park Private Limited,ERPL WAREHOUSING PARK PRIVATE LIMITED,exact,100.0
INE0I5K,Arman Logistics Park Private Limited,ARMAN LOGISTICS PARK PRIVATE LIMITED,exact,100.0
INE0I5X,Monedo financial services private Limited,MONEDO FINANCIAL SERVICES PRIVATE LIMITED,exact,100.0
INE0I67,Rathik Industrial & Logistics Park Private Limited,RATHIK INDUSTRIAL & LOGISTICS PARK PRIVATE LIMITED,exact,100.0
INE0IAD,ILP 3 India 13 Pvt. Ltd.,ILP 3 INDIA 13 PRIVATE LIMITED,exact,100.0
INE0IB2,Tasoula Energy Private Limited,TASOULA ENERGY PRIVATE LIMITED,exact,100.0
INE0IB3,Shirina Industrial & Logistics Park Private Limited,SHIRINA INDUSTRIAL & LOGISTICS PARK PRIVATE LIMITED,exact,100.0
INE0IB5,Unnati Logistics Park Private Limited,UNNATI LOGISTICS PARK PRIVATE LIMITED,exact,100.0
INE0ICW,Netafim Irrigation India Private Limited,NETAFIM IRRIGATION INDIA PRIVATE LIMITED,exact,100.0
INE0IID,Prachay Capital Limited,PRACHAY CAPITAL LIMITED,exact,100.0
INE0INX,Aegis Vopak Terminals Limited,AEGIS VOPAK TERMINALS LIMITED,exact,100.0
INE0IP4,ILP 3 India 8 Private Limited,ILP 3 INDIA 8 PRIVATE LIMITED,exact,100.0
INE0IQY,Bethamangala Expressway Private Limited (Formerly KCC Bethamangala Expressway Private Limited),BETHAMANGALA EXPRESSWAY PRIVATE LIMITED,exact,100.0
INE0IRX,KATRA EXPRESSWAY PRIVATE LIMITED,KATRA EXPRESSWAY PRIVATE LIMITED,exact,100.0
INE0IS7,Amplus Alpha Solar Private Limited,AMPLUS ALPHA SOLAR PRIVATE LIMITED,exact,100.0
INE0ISN,Goodluck Buildtech Private Limited,GOODLUCK BUILDTECH PRIVATE LIMITED,exact,100.0
INE0ITX,INDOSPACE PARK SHAMSHABAD PRIVATE LIMITED,INDOSPACE PARK SHAMSHABAD PRIVATE LIMITED,exact,100.0
INE0IUN,Salsette Developers Private Limited,SALSETTE DEVELOPERS PRIVATE LIMITED,exact,100.0
INE0IVM,Leap Agri Logistics (Khagaria) Private Limited,LEAP AGRI LOGISTICS (KHAGARIA) PRIVATE LIMITED,exact,100.0
INE0IX2,Namdev Finvest Private Limited,NAMDEV FINVEST LIMITED,exact,100.0
INE0J16,Unity Small Finance Bank Limited,UNITY SMALL FINANCE BANK LIMITED,exact,100.0
